Run: 1, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -3.300001382827759
Run: 2, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -1.5000016689300537
Run: 3, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -0.9000015258789062
Run: 4, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -6.90000057220459
Run: 5, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -0.9000015258789062
Run: 6, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -0.9000015258789062
Run: 7, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -5.100001335144043
Run: 8, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -4.5000011920928955
Run: 9, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -5.100001335144043
Run: 10, exploration: 0.5, score: 0, Q_value: 4.378912925720215, Reward : -2.7000014781951904
Run: 11, exploration: 0.49755587079858454, score: 0, Q_value: 4.051946640014648, Reward : -8.100000381469727
Run: 12, exploration: 0.4951236891322756, score: 0, Q_value: 4.1705474853515625, Reward : -6.30000114440918
Run: 13, exploration: 0.49270339659843415, score: 0, Q_value: 4.139843463897705, Reward : -7.500000953674316
Run: 14, exploration: 0.49029493507990846, score: 0, Q_value: 4.105301380157471, Reward : -7.500000953674316
Run: 15, exploration: 0.48789824674363874, score: 0, Q_value: 4.136877059936523, Reward : -7.500000953674316
Run: 16, exploration: 0.4855132740392675, score: 0, Q_value: 4.1459479331970215, Reward : -8.100000381469727
Run: 17, exploration: 0.4831399596977592, score: 0, Q_value: 4.102997303009033, Reward : -8.700000762939453
Run: 18, exploration: 0.4807782467300231, score: 0, Q_value: 4.176485061645508, Reward : -7.500000953674316
Run: 19, exploration: 0.4784280784255469, score: 0, Q_value: 4.207190036773682, Reward : -8.100000381469727
Run: 20, exploration: 0.47608939835103303, score: 0, Q_value: 4.3393988609313965, Reward : -8.100000381469727
Run: 21, exploration: 0.47376215034904473, score: 0, Q_value: 4.120914459228516, Reward : -8.700000762939453
Run: 22, exploration: 0.47144627853665755, score: 0, Q_value: 4.114709377288818, Reward : -7.500000953674316
Run: 23, exploration: 0.46914172730411746, score: 0, Q_value: 4.191953659057617, Reward : -7.500000953674316
Run: 24, exploration: 0.4668484413135044, score: 0, Q_value: 4.271114349365234, Reward : -7.500000953674316
